Ping_milliseconds,712.0,917.0,111.0,324.0,511.0,112.0,311.0,511.0,715.0,925.0,111.0,321.0,526.0,714.0,118.0,310.0,524.0,711.0,917.0,010.0,211.0,427.0,811.0,011.0,209.0,417.0,416.0,612.0,821.0,022.0,212.0,
Range,8.5450880000,8.5333824000,8.5216768000,8.5333824000,8.5450880000,8.5684992000,8.5684992000,8.5567936000,8.5567936000,8.5567936000,8.5567936000,8.5802048000,8.6036160000,8.6036160000,8.5802048000,8.5684992000,8.5684992000,8.5802048000,8.6036160000,8.6036160000,8.5919104000,8.5919104000,8.6270272000,8.6270272000,8.6270272000,8.6387328000,8.6270272000,8.6153216000,8.5919104000,8.5919104000,8.6036160000,
Depth,8.5403849678,8.5273711085,8.5130001958,8.5252371179,8.5344327018,8.5605274765,8.5641670618,8.5545423105,8.5542754354,8.5532246726,8.5508111576,8.5704062358,8.5930592269,8.5959863523,8.5795983281,8.5682284869,8.5664945589,8.5762362843,8.5946588814,8.6012589335,8.5904497132,8.5895929076,8.6187184798,8.6176938815,8.6182185430,8.6280068038,8.6174595756,8.6087516220,8.5881193662,8.5883562854,8.5965100201,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2",
59.000,-50.091983,-45.334400,-50.127497,-47.372134,-49.742203,-52.641968,-51.372813,-74.504669,-52.677610,-44.070443,-48.252095,-56.548865,-57.666539,-70.103866,-57.653320,-47.274969,-52.827293,-68.665957,-58.300648,-65.001939,-55.323668,-54.873806,-65.168328,-58.237952,-49.809248,-56.695578,-60.480503,-61.028655,-54.614120,-48.663610,-62.313626,0,Fileset 1: TS pulse compressed wideband pings T1
59.500,-50.231818,-45.166217,-49.472677,-47.653719,-49.315588,-52.618530,-51.559118,-71.293328,-53.120645,-44.207855,-48.873850,-54.979636,-56.878809,-69.200393,-55.858994,-47.768035,-54.501779,-67.932462,-57.594317,-62.146494,-57.764373,-54.693014,-63.254094,-58.658090,-49.298389,-56.017521,-61.479885,-61.880743,-54.168188,-48.779996,-61.500582,0,Fileset 1: TS pulse compressed wideband pings T1
60.000,-50.216146,-45.083385,-48.913244,-47.914041,-49.002538,-52.622075,-51.565626,-69.321944,-53.681812,-44.401180,-49.554812,-53.848663,-55.986137,-66.677551,-54.237128,-48.174408,-56.504689,-66.992429,-56.868783,-60.702874,-60.242774,-54.349672,-61.271892,-58.722644,-48.938737,-55.249252,-60.736689,-62.821743,-53.863782,-48.904482,-60.263074,0,Fileset 1: TS pulse compressed wideband pings T1
60.500,-50.007349,-45.020593,-48.371396,-48.134632,-48.793288,-52.549764,-51.360414,-68.442767,-54.245347,-44.622836,-50.208075,-52.978004,-54.986793,-64.082554,-52.766692,-48.475680,-58.858717,-65.192562,-56.069405,-60.254696,-61.144709,-53.827865,-59.150121,-58.367987,-48.760886,-54.516873,-59.230404,-63.457676,-53.616777,-49.015490,-59.094540,0,Fileset 1: TS pulse compressed wideband pings T1
61.000,-49.751928,-45.055338,-47.884854,-48.437602,-48.774854,-52.431100,-51.124369,-69.246867,-54.713541,-44.972314,-50.884659,-52.373292,-54.081662,-61.544988,-51.443833,-48.834762,-61.521938,-62.510275,-55.192769,-60.794495,-59.954905,-53.131588,-57.086374,-57.646979,-48.917820,-53.858643,-58.079768,-63.211069,-53.364292,-49.185897,-58.261369,0,Fileset 1: TS pulse compressed wideband pings T1
61.500,-49.525912,-45.188346,-47.436853,-48.833036,-48.929749,-52.262606,-50.959085,-73.304535,-54.910058,-45.442363,-51.545190,-52.006734,-53.372537,-59.128749,-50.244292,-49.306833,-63.548957,-59.525145,-54.225144,-62.190635,-58.350980,-52.228829,-55.238007,-56.578498,-49.453435,-53.178472,-57.561068,-61.598532,-52.943431,-49.389112,-57.864263,0,Fileset 1: TS pulse compressed wideband pings T1
62.000,-49.345765,-45.390774,-47.017772,-49.270769,-49.202369,-52.053022,-50.886487,-88.832324,-54.745344,-45.974482,-52.115497,-51.846535,-52.878539,-56.981256,-49.196072,-49.870328,-63.604835,-56.783930,-53.241852,-63.644050,-57.180436,-51.194804,-53.682108,-55.311542,-50.363641,-52.421982,-57.612020,-59.239231,-52.303566,-49.582623,-57.940622,0,Fileset 1: TS pulse compressed wideband pings T1
62.500,-49.251776,-45.690990,-46.696500,-49.749569,-49.596890,-51.877217,-50.938979,-70.326351,-54.328288,-46.564906,-52.595702,-51.926544,-52.634262,-55.255335,-48.404627,-50.532425,-62.534693,-54.561890,-52.410695,-63.286053,-56.544001,-50.226744,-52.488795,-54.124582,-51.704429,-51.683839,-58.133944,-57.012112,-51.616832,-49.808717,-58.556956,0,Fileset 1: TS pulse compressed wideband pings T1
63.000,-49.143442,-45.992466,-46.415239,-50.156096,-50.000542,-51.670077,-51.002398,-64.111351,-53.714467,-47.101684,-52.895026,-52.153979,-52.532284,-53.883511,-47.826434,-51.174893,-61.490865,-52.787202,-51.735678,-61.080209,-56.239322,-49.357100,-51.558824,-53.102746,-53.436660,-50.964769,-58.856533,-55.151505,-50.961275,-50.003409,-59.633234,0,Fileset 1: TS pulse compressed wideband pings T1
63.500,-49.014809,-46.295389,-46.194523,-50.493241,-50.406412,-51.440751,-51.059908,-60.574892,-53.023627,-47.593281,-53.051681,-52.526152,-52.572472,-52.816462,-47.481655,-51.803929,-60.749556,-51.382821,-51.267989,-58.769895,-56.169440,-48.638275,-50.867861,-52.315022,-55.695288,-50.329424,-59.591725,-53.680747,-50.435429,-50.201940,-61.145017,0,Fileset 1: TS pulse compressed wideband pings T1
