Ping_milliseconds,712.0,917.0,111.0,324.0,511.0,112.0,311.0,511.0,715.0,925.0,111.0,321.0,526.0,714.0,118.0,310.0,524.0,711.0,917.0,010.0,211.0,427.0,811.0,011.0,209.0,417.0,416.0,612.0,821.0,022.0,212.0,
Range,8.5450880000,8.5333824000,8.5216768000,8.5333824000,8.5450880000,8.5684992000,8.5684992000,8.5567936000,8.5567936000,8.5567936000,8.5567936000,8.5802048000,8.6036160000,8.6036160000,8.5802048000,8.5684992000,8.5684992000,8.5802048000,8.6036160000,8.6036160000,8.5919104000,8.5919104000,8.6270272000,8.6270272000,8.6270272000,8.6387328000,8.6270272000,8.6153216000,8.5919104000,8.5919104000,8.6036160000,
Depth,8.5403849678,8.5273711085,8.5130001958,8.5252371179,8.5344327018,8.5605274765,8.5641670618,8.5545423105,8.5542754354,8.5532246726,8.5508111576,8.5704062358,8.5930592269,8.5959863523,8.5795983281,8.5682284869,8.5664945589,8.5762362843,8.5946588814,8.6012589335,8.5904497132,8.5895929076,8.6187184798,8.6176938815,8.6182185430,8.6280068038,8.6174595756,8.6087516220,8.5881193662,8.5883562854,8.5965100201,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2",
175.500,-59.381436,-56.929601,-58.360131,-58.621544,-67.149039,-53.897929,-65.021708,-93.100629,-66.478232,-54.608749,-62.673011,-63.362260,-56.033912,-60.379716,-56.684584,-58.699605,-56.573568,-55.725069,-54.398423,-61.068914,-55.659217,-59.962949,-58.801754,-49.655013,-53.930898,-43.994776,-55.496346,-53.314682,-59.977657,-50.405060,-44.649564,0,Fileset 1: TS pulse compressed wideband pings T2
176.000,-60.955549,-56.045948,-59.433937,-59.323135,-69.746477,-55.248876,-66.079640,-75.807847,-63.753259,-53.755545,-64.234334,-61.477070,-57.527508,-59.923928,-56.277443,-58.601319,-55.987186,-56.203342,-54.435428,-58.844604,-55.671529,-63.118375,-59.030044,-50.088625,-52.881982,-44.717669,-57.223673,-52.813623,-65.947342,-51.578676,-45.191170,0,Fileset 1: TS pulse compressed wideband pings T2
176.500,-63.156840,-55.155560,-59.539917,-60.363300,-73.138948,-56.091559,-67.199396,-69.576914,-62.419442,-52.734512,-65.206609,-59.717156,-58.938082,-59.025806,-55.357720,-58.338842,-54.778590,-56.436655,-54.369461,-56.485854,-55.732934,-68.899913,-58.412425,-50.014518,-51.843097,-45.055946,-58.717587,-51.646235,-78.531437,-52.760967,-45.442042,0,Fileset 1: TS pulse compressed wideband pings T2
177.000,-67.140121,-54.629446,-59.094247,-62.233591,-78.876944,-56.629717,-68.192434,-66.288471,-62.357822,-51.892094,-66.090832,-58.518538,-60.801483,-58.342472,-54.644946,-58.582525,-53.447381,-56.869435,-54.816101,-54.591945,-56.121784,-92.957411,-57.556762,-49.984380,-51.023161,-45.401344,-59.541577,-50.411190,-65.992150,-54.523876,-45.634715,0,Fileset 1: TS pulse compressed wideband pings T2
177.500,-77.060665,-54.349579,-58.337273,-64.570396,-99.155330,-56.798880,-67.137285,-63.811597,-63.232431,-51.184278,-67.145733,-57.863389,-63.012410,-57.972747,-54.284688,-59.468521,-52.081614,-57.464941,-55.865768,-53.354044,-56.646784,-68.964893,-56.519042,-50.120868,-50.149967,-45.586375,-59.302647,-49.202839,-59.807973,-57.412607,-45.603868,0,Fileset 1: TS pulse compressed wideband pings T2
178.000,-73.738016,-54.267969,-57.578903,-64.962450,-80.461607,-56.679089,-64.226414,-61.256461,-64.914924,-50.591950,-68.461858,-57.707712,-64.889209,-57.927905,-54.085944,-60.698757,-50.733234,-58.013748,-57.416094,-52.952880,-56.934492,-64.962960,-55.461022,-50.727260,-49.306631,-45.727795,-58.684521,-48.264766,-55.729194,-62.385317,-45.307991,0,Fileset 1: TS pulse compressed wideband pings T2
178.500,-64.867570,-54.582200,-57.068646,-62.663694,-73.427017,-56.638890,-61.730756,-59.241562,-67.821325,-50.455245,-69.807597,-58.105462,-64.890578,-58.220904,-53.920413,-61.921458,-49.814720,-58.518164,-59.181742,-53.762868,-57.018903,-64.830871,-54.616221,-52.010428,-48.722422,-45.875015,-58.725680,-47.970833,-53.163077,-63.365679,-44.993692,0,Fileset 1: TS pulse compressed wideband pings T2
179.000,-60.050315,-55.143880,-56.706133,-60.625332,-69.008652,-56.616279,-60.000528,-58.062000,-67.367233,-50.582784,-69.886130,-58.791136,-62.611890,-58.357303,-53.075023,-62.359124,-49.055897,-58.468757,-60.385671,-54.908827,-56.575268,-67.205669,-53.858757,-53.690232,-48.431240,-45.941232,-60.080607,-48.221840,-51.725999,-57.805622,-44.591671,0,Fileset 1: TS pulse compressed wideband pings T2
179.500,-56.532212,-56.226399,-56.755300,-59.919149,-65.792006,-56.648826,-59.017224,-58.047601,-62.125185,-51.150513,-68.595412,-59.657659,-59.889223,-58.166094,-51.977860,-62.367294,-48.513479,-58.041178,-60.913671,-54.637797,-55.564984,-72.112341,-53.332659,-55.545357,-48.717679,-46.191238,-61.525558,-49.096777,-51.349043,-54.705960,-44.341831,0,Fileset 1: TS pulse compressed wideband pings T2
180.000,-54.048328,-57.952306,-57.284186,-60.148243,-63.318697,-56.542103,-58.494417,-59.096131,-58.414116,-52.244171,-66.864995,-60.202457,-57.684986,-57.597057,-51.244345,-62.199727,-48.202089,-57.688239,-61.040893,-52.619597,-54.066056,-72.397281,-52.927978,-56.979544,-49.349290,-46.519467,-58.623816,-50.237616,-51.594304,-53.297287,-44.224347,0,Fileset 1: TS pulse compressed wideband pings T2
