Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Variable_index,Variable_name
Ping_index,328,329,330,331,332,333,335,336,337,338,339,340,341,343,344,345,
Ping_date,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,
Ping_time,16:42:45,16:42:46,16:42:46,16:42:46,16:42:46,16:42:46,16:42:47,16:42:47,16:42:47,16:42:47,16:42:48,16:42:48,16:42:48,16:42:48,16:42:49,16:42:49,
Ping_milliseconds,915.0,116.0,316.0,516.0,717.0,915.0,316.0,516.0,716.0,915.0,116.0,315.0,515.0,917.0,115.0,315.0,
Range,16.0022179200,15.9557673600,15.9209294400,15.8744788800,15.9906052800,15.8048030400,15.9557673600,15.7931904000,15.7119019200,15.6770640000,15.6190008000,15.6073881600,15.5377123200,15.4564238400,15.7351272000,15.4331985600,
Depth,15.9827504354,15.9428189658,15.9174502324,15.8733024197,15.9868812496,15.8042923156,15.9553115536,15.7922410294,15.7074957797,15.6693662545,15.6075858567,15.5944036916,15.5193321286,15.4364306089,15.7255416308,15.4138106173,
77.500,-40.877427,-38.623510,-36.575018,-43.929904,-31.263859,-41.269910,-51.364842,-46.469526,-32.788376,-39.112386,-41.693093,-62.003251,-44.475193,-45.834437,-57.428155,-57.715598,0,Fileset 1: TS pulse compressed wideband pings T1
78.000,-42.069319,-37.657464,-37.252839,-44.841851,-31.777582,-41.280690,-58.213079,-45.674647,-32.879700,-37.047823,-41.057064,-60.515917,-46.343296,-48.154482,-57.742928,-53.244829,0,Fileset 1: TS pulse compressed wideband pings T1
78.500,-43.345160,-36.855989,-38.156185,-45.363474,-32.575172,-40.558721,-69.723233,-46.596435,-33.213514,-35.908482,-40.258551,-56.134073,-48.479921,-50.362414,-56.681475,-50.638728,0,Fileset 1: TS pulse compressed wideband pings T1
79.000,-44.726508,-36.146855,-39.425844,-45.273970,-33.561511,-39.330583,-57.095293,-49.499861,-33.651849,-35.520357,-39.586306,-50.018647,-51.307334,-51.786986,-55.276998,-49.104129,0,Fileset 1: TS pulse compressed wideband pings T1
79.500,-46.169726,-35.533059,-41.335956,-44.738501,-34.616403,-37.987137,-52.957818,-55.137172,-34.054628,-35.722907,-39.208510,-46.133298,-54.843888,-51.497572,-54.075477,-48.358507,0,Fileset 1: TS pulse compressed wideband pings T1
80.000,-47.323702,-35.060563,-44.411639,-44.105779,-35.579128,-36.773603,-51.222765,-55.040859,-34.336396,-36.281893,-39.275590,-44.165001,-54.909546,-49.727061,-53.213884,-48.339571,0,Fileset 1: TS pulse compressed wideband pings T1
80.500,-47.430072,-34.767250,-50.014242,-43.628199,-36.303105,-35.792402,-50.927981,-49.814964,-34.522520,-36.760473,-39.842908,-43.800942,-51.395874,-47.637276,-52.739740,-49.078559,0,Fileset 1: TS pulse compressed wideband pings T1
81.000,-46.258592,-34.640690,-61.743094,-43.402275,-36.763028,-35.075743,-51.956360,-47.298830,-34.739366,-36.648997,-40.626869,-44.943638,-48.912642,-45.895437,-52.703677,-50.653684,0,Fileset 1: TS pulse compressed wideband pings T1
81.500,-44.558424,-34.609551,-50.626638,-43.380875,-37.073794,-34.623046,-54.569742,-46.400015,-35.144911,-35.905199,-40.765257,-47.574561,-47.713559,-44.662512,-53.168779,-53.218120,0,Fileset 1: TS pulse compressed wideband pings T1
82.000,-42.932073,-34.575029,-45.244401,-43.352848,-37.402663,-34.412790,-58.733421,-45.885219,-35.874100,-34.981830,-39.626149,-51.055457,-47.328078,-43.887208,-54.223853,-57.175495,0,Fileset 1: TS pulse compressed wideband pings T1
82.500,-41.530733,-34.466441,-42.208498,-42.944095,-37.911407,-34.407498,-57.725136,-44.382338,-37.025046,-34.299120,-37.836494,-52.120440,-47.185433,-43.443783,-56.023781,-64.011144,0,Fileset 1: TS pulse compressed wideband pings T1
83.000,-40.313097,-34.288978,-40.103725,-41.837471,-38.762009,-34.556947,-52.732872,-41.888722,-38.641097,-34.090912,-36.182231,-50.760619,-46.702704,-43.195944,-58.767608,-73.389607,0,Fileset 1: TS pulse compressed wideband pings T1
